index,authors,title,publish_date,description,main_story,url
0,[],More vital now:' Gay-straight alliances go virtual during coronavirus pandemic,2020-05-03,Lily Overacker and Laurell Pallot start each gay-straight alliance meeting with everyone introducing...,Lily Overacker and Laurell Pallot start each gay-straight alliance meeting with everyone introducing...,https://www.cbc.ca/news/canada/calgary/gay-straight-alliances-1.5553816
1,[],Scientists aim to 'see' invisible transmission of coronavirus,2020-05-02,Some researchers aim to learn more about how the coronavirus is transmitted by trying to make invisi...,"This is an excerpt from Second Opinion, a weekly roundup of eclectic and under-the-radar health and ...",https://www.cbc.ca/news/technology/droplet-transmission-1.5549547
2,['The Canadian Press'],Coronavirus: What's happening in Canada and around the world on May 2,2020-05-02,Canada's chief public health officer struck an optimistic tone about the COVID-19 pandemic on Saturd...,"The latest: The lives behind the numbers: What we know about the first 1,000 COVID-19 deaths in Can...",https://www.cbc.ca/news/canada/coronavirus-covid19-may2-canada-world-1.5553451
3,[],"B.C. announces 26 new coronavirus cases, new community outbreak at poultry plant",2020-05-02,B.C. provincial health officer Dr. Bonnie Henry announced 26 new coronavirus cases in the province o...,B.C. provincial health officer Dr. Bonnie Henry announced 26 new coronavirus cases in the province o...,https://www.cbc.ca/news/canada/british-columbia/b-c-announces-26-new-coronavirus-cases-bringing-tota...
4,[],"B.C. announces 26 new coronavirus cases, new community outbreak at poultry plant",2020-05-02,B.C. provincial health officer Dr. Bonnie Henry announced 26 new coronavirus cases in the province o...,B.C. provincial health officer Dr. Bonnie Henry announced 26 new coronavirus cases in the province o...,https://www.cbc.ca/news/canada/british-columbia/b-c-announces-26-new-coronavirus-cases-new-community...
5,"['Senior Writer', 'Chris Arsenault Is A Senior Writer Who Joined Cbc News In Toronto After A Decade ...",Brazil has the most confirmed COVID-19 cases in Latin America. 'So what?' says President Bolsonaro,2020-05-02,"From describing coronavirus as a ""little flu,"" to urging people to ignore the ""hysteria"" and get bac...","With infection rates spiralling, some big city ICUs on the verge of collapse and COVID-19 spreading ...",https://www.cbc.ca/news/world/brazil-has-the-most-confirmed-covid-19-cases-in-latin-america-so-what-...
6,['Cbc News'],The latest on the coronavirus outbreak for May 1,2020-05-01,"The latest on the coronavirus outbreak from CBC News for Friday, May 1.","Coronavirus Brief (CBC) Canada is officially in a recession because of the pandemic, C.D. Howe sa...",https://www.cbc.ca/news/the-latest-on-the-coronavirus-outbreak-for-may-1-1.5552899
7,['Cbc News'],Coronavirus: What's happening in Canada and around the world on May 1,2020-05-01,"Nova Scotia announced Friday it is immediately easing some of its COVID-19 restrictions, one day aft...","The latest: The lives behind the numbers: What we know about the first 1,000 COVID-19 deaths in Can...",https://www.cbc.ca/news/canada/coronavirus-covid19-may1-canada-world-1.5550865
8,"['Senior Writer', ""Adam Miller Is Senior Digital Writer With Cbc News. He'S Covered Health"", 'Politi...",Did the WHO mishandle the global coronavirus pandemic?,2020-04-30,The World Health Organization has come under fire for its response to the global coronavirus pandemi...,The World Health Organization has come under fire for its response to the global coronavirus pandemi...,https://www.cbc.ca/news/health/coronavirus-who-china-canada-pandemic-1.5549836
9,['Thomson Reuters'],Armed people in Michigan's legislature protest proposed coronavirus restrictions extension,2020-04-30,"Hundreds of protesters, some armed, gathered at Michigan's state capitol in Lansing on Thursday obje...","Hundreds of protesters, some armed, gathered at Michigan's state Capitol in Lansing on Thursday obje...",https://www.cbc.ca/news/world/protesters-michigan-whitmer-coronavirus-covid-19-1.5551373
10,['Cbc News'],The latest on the coronavirus outbreak for April 30,2020-04-30,"The latest on the coronavirus outbreak from CBC News for Thursday, April 30.","Coronavirus Brief (CBC) The stories behind the first 1,000 lives lost to COVID-19 in Canada. Did ...",https://www.cbc.ca/news/the-latest-on-the-coronavirus-outbreak-for-april-30-1.5551272
11,['Thomson Reuters'],Brazil using mass graves in Amazon region as coronavirus cases spike,2020-04-30,Deaths from the coronavirus outbreak have piled up so fast in the Amazon rainforest's biggest city t...,Deaths from the coronavirus outbreak have piled up so fast in the Amazon rainforest's biggest city t...,https://www.cbc.ca/news/world/brazil-coronavirus-bolsonaro-1.5550341
12,['The Associated Press'],"Coronavirus 'not manmade or genetically modified,' say U.S. intelligence agencies",2020-04-30,"U.S. intelligence agencies said Thursday they believe the new coronavirus was ""not manmade or geneti...","U.S. intelligence agencies said Thursday they believe the new coronavirus was ""not manmade or geneti...",https://www.cbc.ca/news/world/odni-statement-coronavirus-origin-1.5550691
13,['Thomson Reuters'],"Coronavirus will trigger biggest ever plunge in energy demand, emissions, says IEA",2020-04-30,Economic lockdowns brought on by the coronavirus pandemic look set to cut global energy demand and c...,Economic lockdowns brought on by the coronavirus pandemic look set to cut global energy demand and c...,https://www.cbc.ca/news/business/climate-emissions-iea-1.5550394
14,['Cbc News'],Coronavirus: What's happening in Canada and around the world April 30,2020-04-30,Alberta becomes the latest province to unveil a plan for reopening some sectors of the economy amid ...,"The latest: The lives behind the numbers: What we know about the first 1,000 COVID-19 deaths in Can...",https://www.cbc.ca/news/canada/coronavirus-covid19-april30-canada-world-1.5549172
15,[],"Her greatest fear was dying alone — two days after she caught coronavirus, she did",2020-04-30,The 65-year-old should have spent her last day with her husband of 40 years; it was his birthday. In...,Jennifer Patrick was terrified of dying alone. The 65-year-old was diagnosed with pulmonary fibrosi...,https://www.cbc.ca/news/canada/calgary/covid-19-dying-alone-1.5549739
16,"['Video Journalist', ""Colin Butler Is A Veteran Cbc Reporter Who'S Worked In Moncton"", 'Saint John',...","COVID-19's strain brought these London charities together, now they're helping even more people",2020-04-30,"The strain of coronavirus crisis has brought two London non-profits together, who have found that by...",When Jennifer Martino looks back on the last seven weeks since the COVID-19 pandemic took hold it's ...,https://www.cbc.ca/news/canada/london/london-ontario-charity-1.5549514
17,['Thomson Reuters'],China angered by Australian call for international inquiry into coronavirus origin,2020-04-29,"China accused Australia of ""petty tricks"" on Wednesday in an intensifying dispute over Canberra's pu...","China accused Australia of ""petty tricks"" on Wednesday in an intensifying dispute over Canberra's pu...",https://www.cbc.ca/news/world/china-australia-coronavirus-1.5548868
18,['Cbc News'],The latest on the coronavirus outbreak for April 29,2020-04-29,"The latest on the coronavirus outbreak from CBC News for Wednesday, April 29.","Coronavirus Brief (CBC) Number of COVID-19 deaths in Canada surpasses 3,000; MPs meet in House of...",https://www.cbc.ca/news/the-latest-on-the-coronavirus-outbreak-for-april-29-1.5549717
19,['Thomson Reuters'],"Beloved British WWII vet who raised millions for COVID-19 response turns 100, gets a promotion",2020-04-30,"British Second World War veteran captain Tom Moore, who has become a national hero after raising mil...","British Second World War veteran captain Tom Moore, who has become a national hero after raising mil...",https://www.cbc.ca/news/world/beloved-british-wwii-vet-who-raised-millions-for-covid-19-response-tur...
20,['Thomson Reuters'],Trump orders U.S. meat-processing plants to stay open despite coronavirus fears,2020-04-29,U.S. President Donald Trump ordered meat-processing plants to stay open on Tuesday to protect the fo...,U.S. President Donald Trump ordered meat-processing plants to stay open on Tuesday to protect the fo...,https://www.cbc.ca/news/canada/calgary/us-meat-plants-trump-1.5548776
21,['Thomson Reuters'],Trump orders U.S. meat-processing plants to stay open despite coronavirus fears,2020-04-29,U.S. President Donald Trump ordered meat-processing plants to stay open on Tuesday to protect the fo...,U.S. President Donald Trump ordered meat-processing plants to stay open on Tuesday to protect the fo...,https://www.cbc.ca/news/world/us-meat-plants-trump-1.5548776
22,['Thomson Reuters'],Trump orders U.S. meat-processing plants to stay open despite coronavirus fears,2020-04-29,U.S. President Donald Trump ordered meat-processing plants to stay open on Tuesday to protect the fo...,U.S. President Donald Trump ordered meat-processing plants to stay open on Tuesday to protect the fo...,https://www.cbc.ca/news/canada/calgary/us-meat-processing-plants-stay-open-1.5548776
23,['Cbc News'],Queen City Patrol cleans up downtown as some restrictions set to lift in Sask.,2020-05-03,"As the weather warms, families and kids could start spending more time outside. For Patty Will, co-f...","As the weather warms, families and kids could start spending more time outside. For Patty Will, co-f...",https://www.cbc.ca/news/canada/saskatchewan/queen-city-patrol-regina-clean-up-covid-19-coronavirus-1...
24,['The Associated Press'],It's horrific': 68 with coronavirus have died at Massachusetts veterans' home,2020-04-29,Nearly 70 residents sickened with the coronavirus have died at a Massachusetts home for aging vetera...,Nearly 70 residents sickened with the coronavirus have died at a Massachusetts home for aging vetera...,https://www.cbc.ca/news/world/us-veterans-home-1.5548812
25,['The Associated Press'],"White House shifts approach, readies new coronavirus guidelines",2020-04-27,The White House has released new guidelines on coronavirus testing and reopening businesses as it se...,The White House released new guidelines Monday on coronavirus testing and reopening businesses as U....,https://www.cbc.ca/news/trump-economy-coronavirus-1.5546723
26,['Thomson Reuters'],K-pop superstars BTS put world tour on hold over coronavirus,2020-04-28,South Korea's K-pop boy band BTS will suspend their world tour over worries about the spread of the ...,South Korea's K-pop boy band BTS will suspend their world tour over worries about the spread of the ...,https://www.cbc.ca/news/entertainment/bts-world-tour-on-hold-1.5547534
27,['Cbc News'],The latest on the coronavirus outbreak for April 28,2020-04-28,"The latest on the coronavirus outbreak from CBC News for Tuesday, April 28.",Coronavirus Brief (CBC) Trudeau says COVID-19 measures are working — but Canada is 'not out of th...,https://www.cbc.ca/news/the-latest-on-the-coronavirus-outbreak-for-april-28-1.5548193
28,['Cbc News'],Coronavirus: What's happening in Canada and around the world April 28,2020-04-28,Quebec has provided details of how it plans to begin to reopen its economy. The province's announcem...,"The latest: LIVE BLOG | Get the latest Tuesday as Trudeau provides COVID-19 update, takes questions...",https://www.cbc.ca/news/world/coronavirus-covid19-canada-world-april28-1.5546206
29,['Thomson Reuters'],Aggressive testing is key to France's plan to end coronavirus lockdown,2020-04-28,France will adopt an aggressive new regimen for COVID-19 testing on May 11 so that it can slowly unw...,France will adopt an aggressive new regimen for COVID-19 testing on May 11 so that it can slowly unw...,https://www.cbc.ca/news/world/france-coronavirus-lockdown-1.5547533
30,['Benjamin Shingler Is A Journalist With Cbc Montreal. Follow Him On Twitter'],"Quebec's move to reopen schools sows confusion, fear among parents",2020-04-28,"For weeks, parents have been told to keep their kids close to home, off the playground and away from...","For weeks, parents in Quebec have been told to keep their kids close to home, off the playground and...",https://www.cbc.ca/news/canada/montreal/quebec-schools-questions-covid-19-roberge-1.5547693
31,['Thomson Reuters'],North Korea's absent Kim may be trying to avoid coronavirus: South Korean cabinet minister,2020-04-28,Fear of catching the coronavirus could have kept North Korean leader Kim Jong-un away from state cer...,Fear of catching the coronavirus could have kept North Korean leader Kim Jong-un away from state cer...,https://www.cbc.ca/news/world/north-korea-kim-jong-un-south-korea-1.5547438
32,['Cbc News'],The latest on the coronavirus outbreak for April 27,2020-04-27,"The latest on the coronavirus outbreak from CBC News for Monday, April 27.","Coronavirus Brief (CBC) Ford 'won't set hard dates' for reopening Ontario, says province must see...",https://www.cbc.ca/news/the-latest-on-the-coronavirus-outbreak-for-april-27-1.5546823
33,['Thomson Reuters'],"U.S. considers new ways of working, living as some states ease coronavirus restrictions",2020-04-27,Georgia on Monday will start allowing residents to dine inside restaurants or watch a movie at a the...,Georgia on Monday started allowing residents to dine inside restaurants or watch a movie at a theatr...,https://www.cbc.ca/news/world/us-coronavirus-monday-1.5546311
34,['Thomson Reuters'],"South Africa marks Freedom Day, but coronavirus is highlighting racial disparities",2020-04-27,"South Africa's divisions over race and wealth inequality, which the COVID-19 crisis had briefly side...","South Africa's divisions over race and wealth inequality, which the COVID-19 crisis had briefly side...",https://www.cbc.ca/news/world/south-africa-coronavirus-1.5546227
35,['Cbc News'],Coronavirus: What's happening in Canada and around the world April 27,2020-04-27,Canada's two largest provinces announced plans on Monday to ease restrictions put in place in respon...,The latest: Quebec moves forward with plan to begin opening schools. Ontario announces three-stage...,https://www.cbc.ca/news/canada/coronavirus-covid19-canada-world-april27-1.5545967
36,['Cbc News'],Coronavirus: What's happening in Canada and around the world on April 26,2020-04-26,"Global deaths from COVID-19 have surpassed 203,000 and reported cases worldwide are approaching thre...","The latest: Global coronavirus deaths top 206,000: Johns Hopkins University Health Canada cautions ...",https://www.cbc.ca/news/canada/coronavirus-covid19-1.5545450
37,['Cbc News'],Very quiet' summer on the horizon for event planners as COVID-19 restrictions continue,2020-05-02,"Summer is fast approaching in Saskatchewan, which is a busy time for event planners, according to Li...",Summer is fast approaching in Saskatchewan — normally a busy time for event planners. But COVID-19 h...,https://www.cbc.ca/news/canada/saskatchewan/event-planning-covid-19-coronavirus-1.5553582
38,['The Associated Press'],Wuhan health officials raise death toll linked to COVID-19 by 50%,2020-04-17,"At least 50 per cent more people died in China's virus epicentre of Wuhan than previously counted, w...","At least 50 per cent more people died in China's virus epicentre of Wuhan than previously counted, w...",https://www.cbc.ca/news/world/chinese-epicentre-wuhan-raises-number-of-virus-dead-by-1-290-1.5535543
